date,cases,ww_mean,ww_smooth,pct_mean,pos_lag1,cases_lag1,cases_lag2,week_num,Lineage_other,Lineage_B.1.1.7,Lineage_B.1.351,Lineage_P.1,Lineage_B.1.617.2,Lineage_BA.1,Lineage_BA.2,Lineage_BA.2.12.1,Lineage_BA.4,Lineage_BA.5,Lineage_BQ.1,Lineage_BA.2.75,Lineage_XBB,Lineage_XBB.1.5,Lineage_XBB.1.9,Lineage_XBF,Lineage_XBB.1.16,Lineage_EG.5,Lineage_BA.2.86,Lineage_JN.1,Lineage_KP.2,Lineage_KP.3,Lineage_XEC,Lineage_NB.1.8.1,Lineage_LP.8.1,Lineage_XFG,Lineage_BA.3.2,Week,Normalized_FB,Normalized_IG,Normalized_threads,week_start,sum_meas,avg_meas,social_lag1,week,week_count,week_total_count,week_ratio,norm_ratio,source,news_lag1,week_ct,norm_ct,tt_lag11
2023-10-01,306,597,533.666666666667,1.01,0.94,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
2023-10-08,330,574,563,1.12,1.01,306,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
2023-10-15,333,598,589.666666666667,1.24,1.12,330,306,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
2023-10-22,510,820,664,1.26,1.24,333,330,4,4.2525,0,0,0,0,0,0.175,0,0,0.195,0.065,1.55,10.015,10.5375,9.44,0,10.3675,46.43,5.1425,1.77,0,0.065,0,0,0,0,0,,,,,,,,,,,,,,,,,,
2023-10-29,518,1096,838,1.54,1.26,510,333,5,4.05,0,0,0,0,0,0.15,0,0,0.13,0.065,1.1525,9.81,10.535,9.17,0,9.5975,45.045,6.7975,3.5075,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
2023-11-05,538,1130,1015.33333333333,1.82,1.54,518,510,6,3.9875,0,0,0,0,0,0.15,0,0,0.13,0,1.0875,7.98,10.715,8.765,0,7.8775,44.5425,8.535,6.2375,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
2023-11-12,501,1456,1227.33333333333,1.95,1.82,538,518,7,3.3675,0,0,0,0,0,0.1675,0,0,0,0,1.0175,7.0225,9.9025,7.2725,0,6.9375,42.25,10.9875,11.09,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
2023-11-19,441,1743,1443,2.15,1.95,501,538,8,3.4475,0,0,0,0,0,0.195,0,0,0,0,0.7825,6.05,9.5675,6.095,0,5.695,37.065,12.55,18.56,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
2023-11-26,577,2269,1822.66666666667,2.38,2.15,441,501,9,3.0225,0,0,0,0,0,0.155,0,0,0,0,0.53,4.5925,8.9125,4.9975,0,4.205,30.8775,14.0625,28.65,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
2023-12-03,815,3713,2575,3.14,2.38,577,441,10,2.805,0,0,0,0,0,0.215,0,0,0,0,0.33,3.2125,8.0875,3.8375,0,2.86,23.985,14.98,39.6925,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
2023-12-10,900,4176,3386,3.57,3.14,815,577,11,2.5825,0,0,0,0,0,0.165,0,0,0,0,0.2375,2.58,6.035,2.725,0,1.78,17.725,14.2475,51.9175,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
2023-12-17,887,4343,4077.33333333333,3.41,3.57,900,815,12,2.2375,0,0,0,0,0,0.1425,0,0,0,0,0.165,1.6725,3.9325,1.9875,0,1.1525,11.975,13.8825,62.85,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
2023-12-24,723,2686,3735,2.6,3.41,887,900,13,1.7875,0,0,0,0,0,0.1425,0,0,0,0,0.0925,1.22,2.475,1.0525,0,0.7725,7.955,12.505,71.9975,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
2023-12-31,537,1555,2861.33333333333,1.96,2.6,723,887,14,1.195,0,0,0,0,0,0.0825,0,0,0,0,0.1325,0.7375,1.2775,0.6825,0,0.47,5.385,10.57,79.365,0,0.1,0,0,0,0,0,01 Jan 2024 - 07 Jan 2024,51,90,46,01 Jan 2024,187,62.3333333333333,65,2024-01-01,0,6188,0,0,MediaCloud,0,180,0.205645161290323,208
2024-01-07,383,868,1703,0.85,1.96,537,723,15,0.9425,0,0,0,0,0,0.195,0,0,0,0,0.1,0.1725,0.9575,0.495,0,0.27,4.4275,8.23,84.1125,0,0.1,0,0,0,0,0,08 Jan 2024 - 14 Jan 2024,60,85,50,08 Jan 2024,195,65,55.3333333333333,2024-01-08,0,8378,0,0,MediaCloud,0.00129533678756477,208,0.243279569892473,259
2024-01-14,303,617,1013.33333333333,0.65,0.85,383,537,16,0.55,0,0,0,0,0,0.145,0,0,0,0,0.1,0.3375,0.3675,0.3475,0,0.1225,3.38,7.0025,87.55,0,0.1,0,0,0,0,0,15 Jan 2024 - 21 Jan 2024,55,80,31,15 Jan 2024,166,55.3333333333333,57,2024-01-15,1,8495,0.00129533678756477,2.69832194699622,MediaCloud,0.00363132607285596,259,0.311827956989247,177
2024-01-21,290,630,705,0.69,0.65,303,383,17,0.8325,0,0,0,0,0,0.145,0,0,0,0,0.1,0.215,0.54,0.3475,0,0,2.4075,6.5175,88.795,0,0.1,0,0,0,0,0,22 Jan 2024 - 28 Jan 2024,54,86,31,22 Jan 2024,171,57,50.6666666666667,2024-01-22,5,8412,0.00363132607285596,7.56443183977504,MediaCloud,0,177,0.201612903225806,101
2024-01-28,244,487,578,0.49,0.69,290,303,18,1.125,0,0,0,0,0,0.145,0,0,0,0,0,0.4125,0.6375,0.145,0,0,1.8875,5.88,89.5725,0,0.1975,0,0,0,0,0,29 Jan 2024 - 04 Feb 2024,48,80,24,29 Jan 2024,152,50.6666666666667,49,2024-01-29,0,8672,0,0,MediaCloud,0,101,0.0994623655913978,27
2024-02-04,193,354,490.333333333333,0.35,0.49,244,290,19,1.665,0,0,0,0,0,0,0,0,0,0,0.3425,0.755,0.835,0,0,0,1.3625,6.2375,88.605,0,0.1975,0,0,0,0,0,05 Feb 2024 - 11 Feb 2024,47,75,25,05 Feb 2024,147,49,49.6666666666667,2024-02-05,0,8150,0,0,MediaCloud,0.0024370430544273,27,0,136
